scenario,scenario_rgb_class,routes_total,routes_valid,routes_skipped_abnormal,frames_analyzed,signal_routes_ratio,nonsignal_routes_ratio,signal_frame_ratio,junction_frame_ratio,nonsignal_junction_frame_ratio,route_class_counts
HazardAtSideLaneTwoWays,mixed_or_uncertain_review,101,89,12,15268,0.06741573033707865,0.25842696629213485,0.02515064186533927,0.09405292114225831,0.06890227927691904,"{""R4_R5_shared"": 6, ""R5_only"": 17, ""junction_uncertain_control"": 1, ""no_visible_R4_R5"": 65}"
HighwayCutIn,R4_R5_shared,106,75,31,14672,0.12,0.6133333333333333,0.007020174482006543,0.1808887677208288,0.17386859323882226,"{""R4_R5_shared"": 5, ""R4_only"": 4, ""R5_only"": 41, ""no_visible_R4_R5"": 25}"
HighwayExit,R5_only,98,88,10,11014,0.0,0.6136363636363636,0.0,0.0949700381332849,0.0949700381332849,"{""R5_only"": 54, ""junction_uncertain_control"": 4, ""no_visible_R4_R5"": 30}"
InterurbanActorFlow,R5_only,91,90,1,11007,0.0,0.9333333333333333,0.0,0.4099209593894794,0.4099209593894794,"{""R5_only"": 84, ""junction_uncertain_control"": 6}"
InterurbanAdvancedActorFlow,R5_only,78,72,6,8453,0.0,0.7777777777777778,0.0,0.38873772625103514,0.38873772625103514,"{""R5_only"": 56, ""junction_uncertain_control"": 13, ""no_visible_R4_R5"": 3}"
InvadingTurn,R5_only,102,98,4,11883,0.01020408163265306,0.35714285714285715,0.004375999326769334,0.15770428343011025,0.1533282841033409,"{""R4_only"": 1, ""R5_only"": 35, ""junction_uncertain_control"": 4, ""no_visible_R4_R5"": 58}"
MergerIntoSlowTraffic,R4_R5_shared,96,88,8,13671,0.10227272727272728,0.6477272727272727,0.01141101601931095,0.24592202472386804,0.2345110087045571,"{""R4_R5_shared"": 8, ""R4_only"": 1, ""R5_only"": 49, ""junction_uncertain_control"": 1, ""no_visible_R4_R5"": 29}"
MergerIntoSlowTrafficV2,R5_only,105,103,2,19038,0.0,0.7087378640776699,0.0,0.20191196554259902,0.20191196554259902,"{""R5_only"": 73, ""no_visible_R4_R5"": 30}"
NonSignalizedJunctionLeftTurn,R4_R5_shared,249,160,89,14195,0.09375,0.89375,0.034237407537865444,0.5038393800634026,0.46960197252553715,"{""R4_R5_shared"": 13, ""R4_only"": 2, ""R5_only"": 130, ""junction_uncertain_control"": 12, ""no_visible_R4_R5"": 3}"
NonSignalizedJunctionLeftTurnEnterFlow,R4_R5_shared,215,175,40,15931,0.09142857142857143,0.9428571428571428,0.02686585901701086,0.5357479128742703,0.5088820538572595,"{""R4_R5_shared"": 14, ""R4_only"": 2, ""R5_only"": 151, ""junction_uncertain_control"": 5, ""no_visible_R4_R5"": 3}"
NonSignalizedJunctionRightTurn,R4_R5_shared,95,93,2,8074,0.12903225806451613,0.8602150537634409,0.01746346296755016,0.444141689373297,0.4266782264057468,"{""R4_R5_shared"": 11, ""R4_only"": 1, ""R5_only"": 69, ""junction_uncertain_control"": 11, ""no_visible_R4_R5"": 1}"
OppositeVehicleRunningRedLight,R4_R5_shared,296,287,9,28165,0.8954703832752613,0.7770034843205574,0.22662879460323096,0.6477187999289898,0.4210900053257589,"{""R4_R5_shared"": 195, ""R4_only"": 62, ""R5_only"": 28, ""no_visible_R4_R5"": 2}"
OppositeVehicleTakingPriority,mixed_or_uncertain_review,97,97,0,13238,0.07216494845360824,0.8144329896907216,0.03180238706753286,0.5011331016769904,0.46933071460945763,"{""R4_R5_shared"": 3, ""R4_only"": 4, ""R5_only"": 76, ""junction_uncertain_control"": 11, ""no_visible_R4_R5"": 3}"
ParkedObstacle,R4_R5_shared,208,173,35,21839,0.15606936416184972,0.37572254335260113,0.053390723018453226,0.1822427766839141,0.12885205366546088,"{""R4_R5_shared"": 14, ""R4_only"": 13, ""R5_only"": 51, ""junction_uncertain_control"": 3, ""no_visible_R4_R5"": 92}"
ParkedObstacleTwoWays,mixed_or_uncertain_review,102,97,5,14145,0.061855670103092786,0.38144329896907214,0.008130081300813009,0.15779427359490986,0.14966419229409686,"{""R4_R5_shared"": 4, ""R4_only"": 2, ""R5_only"": 33, ""junction_uncertain_control"": 3, ""no_visible_R4_R5"": 55}"
ParkingCrossingPedestrian,R4_R5_shared,101,93,8,14916,0.6236559139784946,0.6021505376344086,0.18369536068651113,0.41130329847144004,0.22760793778492894,"{""R4_R5_shared"": 41, ""R4_only"": 17, ""R5_only"": 15, ""junction_uncertain_control"": 3, ""no_visible_R4_R5"": 17}"
ParkingCutIn,R4_R5_shared,99,97,2,13892,0.6804123711340206,0.6597938144329897,0.2663403397638929,0.4854592571264037,0.2191189173625108,"{""R4_R5_shared"": 49, ""R4_only"": 17, ""R5_only"": 15, ""junction_uncertain_control"": 1, ""no_visible_R4_R5"": 15}"
ParkingExit,R4_R5_shared,256,243,13,17974,0.17695473251028807,0.3045267489711934,0.1353621898297541,0.2949260042283298,0.15956381439857573,"{""R4_R5_shared"": 26, ""R4_only"": 17, ""R5_only"": 48, ""no_visible_R4_R5"": 152}"
PedestrianCrossing,R4_R5_shared,101,98,3,18141,0.7551020408163265,0.826530612244898,0.2812965106664462,0.5609944325009647,0.27969792183451847,"{""R4_R5_shared"": 59, ""R4_only"": 15, ""R5_only"": 22, ""no_visible_R4_R5"": 2}"
PriorityAtJunction,R4_R5_shared,99,99,0,9702,0.8686868686868687,0.7777777777777778,0.2018140589569161,0.45279323850752423,0.2509791795506081,"{""R4_R5_shared"": 64, ""R4_only"": 22, ""R5_only"": 13}"
RedLightWithoutLeadVehicle,R4_R5_shared,359,358,1,48487,0.8798882681564246,0.7178770949720671,0.36783055251923197,0.7417245859714975,0.3738940334522656,"{""R4_R5_shared"": 221, ""R4_only"": 94, ""R5_only"": 36, ""empty"": 1, ""no_visible_R4_R5"": 6}"
SignalizedJunctionLeftTurn,R4_R5_shared,375,309,66,23012,0.8705501618122977,0.8252427184466019,0.23218320876064663,0.5997305753519903,0.3675473665913436,"{""R4_R5_shared"": 218, ""R4_only"": 51, ""R5_only"": 37, ""no_visible_R4_R5"": 3}"
SignalizedJunctionLeftTurnEnterFlow,R4_R5_shared,242,174,68,13165,0.8793103448275862,0.8160919540229885,0.25894417014812,0.5592859855677934,0.30034181541967336,"{""R4_R5_shared"": 123, ""R4_only"": 30, ""R5_only"": 19, ""no_visible_R4_R5"": 2}"
SignalizedJunctionRightTurn,R4_R5_shared,362,309,53,19827,0.912621359223301,0.7119741100323624,0.3386795783527513,0.6116911282594442,0.2730115499066929,"{""R4_R5_shared"": 202, ""R4_only"": 80, ""R5_only"": 18, ""no_visible_R4_R5"": 9}"
StaticCutIn,R4_R5_shared,100,98,2,11895,0.09183673469387756,0.20408163265306123,0.009247583018074821,0.09180327868852459,0.08255569567044976,"{""R4_R5_shared"": 8, ""R4_only"": 1, ""R5_only"": 12, ""junction_uncertain_control"": 1, ""no_visible_R4_R5"": 76}"
T_Junction,R4_R5_shared,247,247,0,31587,0.8744939271255061,0.6842105263157895,0.3159527653781619,0.723557159590971,0.4076043942128091,"{""R4_R5_shared"": 140, ""R4_only"": 76, ""R5_only"": 29, ""no_visible_R4_R5"": 2}"
VehicleOpensDoorTwoWays,R4_R5_shared,117,110,7,15925,0.5,0.4727272727272727,0.1357613814756672,0.3032339089481947,0.16747252747252747,"{""R4_R5_shared"": 36, ""R4_only"": 19, ""R5_only"": 16, ""no_visible_R4_R5"": 39}"
VehicleTurningRoute,R4_R5_shared,820,687,133,94386,0.5924308588064047,0.7569141193595342,0.17881889263238193,0.5854046150912211,0.4065857224588392,"{""R4_R5_shared"": 293, ""R4_only"": 114, ""R5_only"": 227, ""junction_uncertain_control"": 23, ""no_visible_R4_R5"": 30}"
VehicleTurningRoutePedestrian,R4_R5_shared,101,98,3,22712,0.47959183673469385,0.7244897959183674,0.1312962310672772,0.46724198661500527,0.3359457555477281,"{""R4_R5_shared"": 33, ""R4_only"": 14, ""R5_only"": 38, ""junction_uncertain_control"": 1, ""no_visible_R4_R5"": 12}"
noScenarios,R4_R5_shared,1436,1377,59,149219,0.12781408859840232,0.560639070442992,0.053062947747940944,0.27609754789939617,0.22303460015145524,"{""R4_R5_shared"": 115, ""R4_only"": 61, ""R5_only"": 657, ""junction_uncertain_control"": 38, ""no_visible_R4_R5"": 506}"
