scenario,route_id,route_class,total_frames,analyzed_frames,skipped_abnormal,signal_frames,possible_signal_color_frames,junction_frames,possible_junction_frames,nonsignal_junction_frames,red_signal_frames,yellow_signal_frames,green_signal_frames,stopline_crosswalk_frames,turn_marking_frames,max_signal_score,max_junction_score
Accident,Town05_Rep0_route_001775_route0_01_08_20_19_47,no_visible_R4_R5,189,189,False,0,0,0,1,0,0,0,0,1,0,0.0,2.0
Accident,Town05_Rep0_route_001776_route0_01_10_09_00_34,R5_only,124,124,False,0,1,22,102,22,0,0,1,124,40,3.0,3.0
Accident,Town05_Rep0_route_001777_route0_01_10_15_33_03,no_visible_R4_R5,201,201,False,0,1,0,1,0,0,0,1,1,0,13.0,2.0
Accident,Town05_Rep0_route_001778_route0_01_10_16_49_11,R4_R5_shared,236,236,False,94,233,109,127,15,22,7,232,236,39,113.0,3.0
Accident,Town05_Rep0_route_001779_route0_01_08_19_30_37,R5_only,289,289,False,0,1,197,92,197,1,0,0,289,210,1.0,3.0
Accident,Town05_Rep0_route_001780_route0_01_08_16_19_35,R5_only,171,171,False,0,170,46,125,46,137,2,170,171,56,71.0,3.0
Accident,Town05_Rep0_route_001781_route0_01_10_14_43_11,R4_R5_shared,310,310,False,173,269,209,101,36,18,10,261,310,114,44.0,3.0
Accident,Town05_Rep0_route_001782_route0_01_10_06_03_55,R5_only,240,240,False,0,1,141,99,141,0,0,1,240,65,3.0,3.0
Accident,Town06_Rep0_route_001823_route0_01_09_04_47_40,R5_only,103,103,False,0,1,5,98,5,0,0,1,101,102,4.0,3.0
Accident,Town06_Rep0_route_001824_route0_01_10_01_44_23,R5_only,102,102,False,0,1,5,97,5,0,0,1,102,60,28.0,3.0
Accident,Town06_Rep0_route_001825_route0_01_10_05_30_07,no_visible_R4_R5,114,114,False,0,2,0,112,0,0,1,2,30,108,7.0,2.9166666666666665
Accident,Town06_Rep0_route_001826_route0_01_11_02_56_07,no_visible_R4_R5,158,158,False,0,158,0,158,0,1,4,158,158,77,43.0,3.0
Accident,Town06_Rep0_route_001827_route0_01_10_21_52_06,no_visible_R4_R5,164,164,False,0,0,0,1,0,0,0,0,1,1,0.0,2.5
Accident,Town06_Rep0_route_001828_route0_01_10_23_32_47,no_visible_R4_R5,164,164,False,0,0,0,3,0,0,0,0,1,2,0.0,2.0
Accident,Town06_Rep0_route_001829_route0_01_09_23_22_26,no_visible_R4_R5,127,127,False,0,1,0,1,0,0,0,1,1,0,39.0,2.0
Accident,Town06_Rep0_route_001830_route0_01_10_16_32_50,no_visible_R4_R5,155,155,False,0,1,0,155,0,0,1,1,155,57,5.0,3.0
Accident,Town06_Rep0_route_001831_route0_01_09_23_26_33,no_visible_R4_R5,144,144,False,0,62,0,144,0,0,0,62,144,142,17.0,3.0
Accident,Town06_Rep0_route_001832_route0_01_11_09_42_26,no_visible_R4_R5,139,139,False,0,0,0,139,0,0,0,0,137,127,0.0,3.0
Accident,Town06_Rep0_route_001833_route0_01_10_22_31_36,R5_only,197,197,False,0,1,153,44,153,1,0,0,196,191,10.0,3.0
Accident,Town06_Rep0_route_001834_route0_01_10_02_05_02,R5_only,80,80,False,0,1,35,45,35,1,0,1,80,50,17.0,3.0
Accident,Town06_Rep0_route_001835_route0_01_10_14_48_04,skipped_abnormal_duration,532,0,True,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Accident,Town06_Rep0_route_001836_route0_01_08_15_36_39,skipped_abnormal_duration,546,0,True,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Accident,Town06_Rep0_route_001836_route0_01_11_06_19_01,skipped_abnormal_duration,554,0,True,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Accident,Town06_Rep0_route_001837_route0_01_09_01_03_43,R5_only,160,160,False,0,0,3,157,3,0,0,0,160,154,0.0,3.0
Accident,Town06_Rep0_route_001839_route0_01_08_03_50_12,R5_only,100,100,False,0,0,48,52,48,0,0,0,98,62,0.0,3.0
Accident,Town06_Rep0_route_001840_route0_01_10_18_03_37,R5_only,79,79,False,0,37,26,53,26,3,0,37,79,14,18.0,3.0
Accident,Town06_Rep0_route_001841_route0_01_10_22_11_03,R5_only,61,61,False,0,61,26,35,26,0,0,61,60,25,72.0,3.0
Accident,Town06_Rep0_route_001842_route0_01_08_15_18_34,R5_only,63,63,False,0,0,16,47,16,0,0,0,63,29,0.0,3.0
Accident,Town06_Rep0_route_001843_route0_01_09_13_48_26,R5_only,47,47,False,0,1,31,16,31,0,0,1,47,14,3.0,3.0
Accident,Town06_Rep0_route_001844_route0_01_10_22_29_36,R5_only,67,67,False,0,0,50,17,50,0,0,0,67,30,0.0,3.0
Accident,Town06_Rep0_route_001845_route0_01_10_21_26_02,R5_only,75,75,False,0,19,37,38,37,0,0,19,75,4,13.0,3.0
Accident,Town06_Rep0_route_001846_route0_01_09_03_31_08,no_visible_R4_R5,92,92,False,0,0,0,92,0,0,0,0,92,7,0.0,3.0
Accident,Town06_Rep0_route_001847_route0_01_11_04_12_43,no_visible_R4_R5,119,119,False,0,1,0,3,0,0,0,1,1,3,1.0,3.0
Accident,Town06_Rep0_route_001848_route0_01_09_02_40_44,R5_only,127,127,False,0,0,89,38,89,0,0,0,126,127,0.0,3.0
Accident,Town06_Rep0_route_001849_route0_01_09_09_47_41,no_visible_R4_R5,77,77,False,0,0,0,77,0,0,0,0,77,73,0.0,3.0
Accident,Town06_Rep0_route_001850_route0_01_10_04_21_33,R5_only,62,62,False,0,0,16,46,16,0,0,0,62,32,0.0,3.0
Accident,Town06_Rep0_route_001851_route0_01_09_07_38_16,no_visible_R4_R5,77,77,False,0,6,0,3,0,6,1,1,2,3,30.0,2.9166666666666665
Accident,Town06_Rep0_route_001852_route0_01_07_23_18_17,R5_only,43,43,False,0,1,15,28,15,1,0,0,43,42,11.0,3.0
Accident,Town06_Rep0_route_001853_route0_01_09_18_40_19,R5_only,55,55,False,0,1,1,0,1,0,0,1,1,1,2.0,2.375
Accident,Town06_Rep0_route_001854_route0_01_09_12_57_43,R5_only,43,43,False,0,43,2,41,2,1,1,43,43,17,59.0,3.0
Accident,Town06_Rep0_route_001855_route0_01_08_12_30_55,no_visible_R4_R5,72,72,False,0,2,0,1,0,2,0,0,1,1,2.0,3.0
Accident,Town06_Rep0_route_001856_route0_01_10_09_51_57,R5_only,79,79,False,0,0,1,78,1,0,0,0,79,41,0.0,3.0
Accident,Town10HD_Rep0_route_001816_route0_01_10_14_36_51,R5_only,110,110,False,0,9,28,81,28,9,0,0,109,97,6.0,3.0
Accident,Town10HD_Rep0_route_001818_route0_01_09_04_05_55,R4_only,189,189,False,105,169,105,15,0,169,54,0,4,14,13.0,2.0
Accident,Town10HD_Rep0_route_001819_route0_01_10_20_49_40,R4_R5_shared,87,87,False,30,87,65,22,35,87,70,27,87,82,49.0,3.0
Accident,Town10HD_Rep0_route_001820_route0_01_09_03_58_15,R5_only,67,67,False,0,7,6,51,6,5,0,2,32,54,5.0,3.0
Accident,Town10HD_Rep0_route_001821_route0_01_09_07_57_16,R4_only,71,71,False,12,13,12,1,0,13,1,0,1,1,5.0,3.0
Accident,Town10HD_Rep0_route_001822_route0_01_08_20_50_59,R5_only,64,64,False,0,1,63,1,63,1,0,1,64,62,10.0,3.0
Accident,Town12_Rep0_1054_0_route0_01_09_17_12_50,no_visible_R4_R5,125,125,False,0,0,0,118,0,0,0,0,114,80,0.0,3.0
Accident,Town12_Rep0_1054_1_route0_01_09_05_47_16,no_visible_R4_R5,154,154,False,0,0,0,3,0,0,0,0,1,3,0.0,2.5
Accident,Town12_Rep0_10_0_route0_01_08_10_13_55,R5_only,102,102,False,0,0,8,66,8,0,0,0,18,68,0.0,3.0
Accident,Town12_Rep0_1334_0_route0_01_08_23_03_43,R4_only,125,125,False,23,121,23,102,0,76,6,120,101,125,23.0,3.0
Accident,Town12_Rep0_1334_1_route0_01_10_11_09_46,R4_R5_shared,139,139,False,1,8,14,121,13,7,2,2,72,132,3.0,3.0
Accident,Town12_Rep0_1392_1_route0_01_09_06_37_45,no_visible_R4_R5,154,154,False,0,55,0,138,0,0,0,55,4,138,5.0,3.0
Accident,Town12_Rep0_1423_0_route0_01_08_09_00_34,no_visible_R4_R5,137,137,False,0,0,0,1,0,0,0,0,1,1,0.0,2.4166666666666665
Accident,Town12_Rep0_1423_1_route0_01_09_10_26_59,no_visible_R4_R5,128,128,False,0,2,0,80,0,0,0,2,1,80,1.0,2.4166666666666665
Accident,Town12_Rep0_2208_0_route0_01_08_20_17_29,R4_R5_shared,270,270,False,144,215,188,82,44,2,0,214,270,251,14.0,3.0
Accident,Town12_Rep0_2226_0_route0_01_10_10_31_33,no_visible_R4_R5,120,120,False,0,119,0,120,0,118,43,41,4,120,25.0,3.0
Accident,Town12_Rep0_2232_0_route0_01_09_09_38_19,skipped_abnormal_duration,402,0,True,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Accident,Town12_Rep0_2232_0_route0_01_11_09_40_06,skipped_abnormal_duration,414,0,True,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Accident,Town12_Rep0_2329_0_route0_01_08_06_33_25,R4_R5_shared,76,76,False,3,17,9,67,6,12,4,6,46,75,11.0,3.0
Accident,Town12_Rep0_2478_0_route0_01_11_01_26_05,no_visible_R4_R5,104,104,False,0,0,0,1,0,0,0,0,1,1,0.0,3.0
Accident,Town12_Rep0_2478_1_route0_01_10_01_37_11,skipped_abnormal_duration,366,0,True,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Accident,Town12_Rep0_2478_1_route0_01_11_14_33_14,skipped_abnormal_duration,367,0,True,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Accident,Town12_Rep0_2488_0_route0_01_09_00_56_45,no_visible_R4_R5,152,152,False,0,0,0,1,0,0,0,0,1,1,0.0,2.5
Accident,Town12_Rep0_2488_1_route0_01_07_23_03_41,no_visible_R4_R5,137,137,False,0,78,0,137,0,0,0,78,137,83,14.0,3.0
Accident,Town12_Rep0_2642_0_route0_01_10_11_24_38,no_visible_R4_R5,172,172,False,0,17,0,15,0,17,0,0,3,14,3.0,3.0
Accident,Town12_Rep0_2810_0_route0_01_08_14_28_42,R4_R5_shared,125,125,False,1,2,72,52,71,2,0,0,90,123,2.0,3.0
Accident,Town12_Rep0_2841_0_route0_01_11_02_51_27,skipped_abnormal_duration,395,0,True,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Accident,Town12_Rep0_2841_1_route0_01_08_00_02_16,no_visible_R4_R5,91,91,False,0,0,0,2,0,0,0,0,1,2,0.0,3.0
Accident,Town12_Rep0_2882_0_route0_01_09_07_57_43,no_visible_R4_R5,121,121,False,0,99,0,111,0,73,27,94,19,111,45.0,3.0
Accident,Town12_Rep0_2943_0_route0_01_10_04_51_19,no_visible_R4_R5,106,106,False,0,104,0,100,0,0,0,104,34,98,27.0,2.5
Accident,Town12_Rep0_2957_0_route0_01_10_11_47_55,no_visible_R4_R5,175,175,False,0,25,0,51,0,15,4,10,3,51,4.0,2.5
Accident,Town12_Rep0_3191_0_route0_01_09_07_12_13,no_visible_R4_R5,111,111,False,0,40,0,108,0,40,5,1,56,105,38.0,3.0
Accident,Town12_Rep0_3726_0_route0_01_08_01_21_21,no_visible_R4_R5,165,165,False,0,1,0,28,0,1,0,0,1,28,2.0,3.0
Accident,Town12_Rep0_3743_0_route0_01_08_09_16_37,no_visible_R4_R5,111,111,False,0,111,0,111,0,52,8,108,108,107,15.0,3.0
Accident,Town12_Rep0_3759_0_route0_01_09_14_30_52,no_visible_R4_R5,118,118,False,0,116,0,118,0,89,11,114,111,115,17.0,3.0
Accident,Town12_Rep0_3817_0_route0_01_09_18_08_27,no_visible_R4_R5,122,122,False,0,10,0,67,0,10,0,0,25,46,1.0,3.0
Accident,Town12_Rep0_3823_0_route0_01_10_21_13_13,R5_only,114,114,False,0,109,27,84,27,0,7,109,97,104,22.0,3.0
Accident,Town12_Rep0_3823_1_route0_01_08_18_55_40,R5_only,135,135,False,0,3,30,103,30,0,0,3,95,126,3.0,3.0
Accident,Town12_Rep0_3826_0_route0_01_09_14_35_49,no_visible_R4_R5,130,130,False,0,15,0,66,0,14,0,1,27,54,2.0,3.0
Accident,Town12_Rep0_3826_1_route0_01_09_14_32_22,R5_only,111,111,False,0,110,2,103,2,0,28,110,75,101,20.0,3.0
Accident,Town12_Rep0_3990_0_route0_01_10_23_55_56,R4_only,142,142,False,17,22,17,125,0,0,0,22,133,141,17.0,3.0
Accident,Town12_Rep0_3990_1_route0_01_08_15_09_41,R4_only,103,103,False,4,4,4,89,0,0,2,4,48,85,3.0,2.041666666666667
Accident,Town12_Rep0_3992_0_route0_01_08_21_26_00,no_visible_R4_R5,142,142,False,0,138,0,142,0,1,3,138,9,142,27.0,3.0
Accident,Town12_Rep0_4007_0_route0_01_09_00_32_01,no_visible_R4_R5,216,216,False,0,24,0,200,0,23,0,1,75,192,7.0,3.0
Accident,Town12_Rep0_4026_0_route0_01_09_18_37_32,no_visible_R4_R5,126,126,False,0,0,0,118,0,0,0,0,1,118,0.0,2.7916666666666665
Accident,Town12_Rep0_4117_0_route0_01_11_09_53_35,skipped_abnormal_duration,442,0,True,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Accident,Town12_Rep0_4129_0_route0_01_10_23_00_29,no_visible_R4_R5,151,151,False,0,0,0,1,0,0,0,0,1,1,0.0,3.0
Accident,Town12_Rep0_4129_1_route0_01_08_14_00_09,no_visible_R4_R5,131,131,False,0,130,0,129,0,0,0,130,11,129,22.0,3.0
Accident,Town12_Rep0_4355_0_route0_01_08_06_07_53,R4_R5_shared,84,84,False,2,15,23,54,21,15,3,0,34,76,3.0,3.0
Accident,Town12_Rep0_4513_0_route0_01_10_18_32_04,no_visible_R4_R5,82,82,False,0,0,0,82,0,0,0,0,82,78,0.0,3.0
Accident,Town12_Rep0_4513_1_route0_01_10_00_11_08,no_visible_R4_R5,82,82,False,0,0,0,1,0,0,0,0,1,1,0.0,2.4166666666666665
Accident,Town12_Rep0_645_0_route0_01_09_01_03_44,R4_R5_shared,326,326,False,257,271,266,53,9,213,1,161,33,317,14.0,3.0
Accident,Town12_Rep0_679_0_route0_01_10_20_08_11,no_visible_R4_R5,121,121,False,0,32,0,121,0,32,5,1,103,119,8.0,3.0
Accident,Town12_Rep0_679_1_route0_01_09_07_43_56,no_visible_R4_R5,119,119,False,0,118,0,117,0,90,15,117,112,114,27.0,3.0
Accident,Town12_Rep0_720_0_route0_01_09_09_52_24,no_visible_R4_R5,134,134,False,0,0,0,134,0,0,0,0,134,124,0.0,3.0
Accident,Town12_Rep0_729_0_route0_01_08_08_07_46,no_visible_R4_R5,165,165,False,0,8,0,36,0,0,0,8,1,36,2.0,3.0
Accident,Town12_Rep0_969_0_route0_01_11_07_52_33,R5_only,100,100,False,0,62,34,66,34,0,0,62,99,74,9.0,3.0
Accident,Town13_Rep0_1044_0_route0_01_08_22_08_42,no_visible_R4_R5,152,152,False,0,0,0,151,0,0,0,0,145,140,0.0,3.0
Accident,Town13_Rep0_1044_1_route0_01_09_08_34_30,no_visible_R4_R5,113,113,False,0,8,0,107,0,5,0,3,1,106,2.0,2.0
Accident,Town13_Rep0_1044_2_route0_01_10_10_33_56,no_visible_R4_R5,123,123,False,0,0,0,123,0,0,0,0,122,117,0.0,3.0
Accident,Town13_Rep0_1045_0_route0_01_10_16_04_49,R5_only,224,224,False,0,1,159,65,159,0,0,1,223,211,1.0,3.0
Accident,Town13_Rep0_1045_1_route0_01_10_11_49_43,R4_only,226,226,False,10,26,11,121,1,21,0,12,2,129,6.0,1.875
Accident,Town13_Rep0_1045_2_route0_01_09_12_08_47,R4_R5_shared,223,223,False,6,15,159,64,153,11,0,12,222,219,6.0,3.0
Accident,Town13_Rep0_1073_0_route0_01_10_17_54_17,R4_R5_shared,83,83,False,18,65,32,48,14,57,16,48,25,79,48.0,3.0
Accident,Town13_Rep0_1073_2_route0_01_08_10_12_00,R4_only,94,94,False,9,15,9,8,0,7,2,9,1,7,7.0,2.0
Accident,Town13_Rep0_1083_0_route0_01_09_12_08_28,R4_only,94,94,False,10,24,10,51,0,15,1,12,12,48,7.0,2.0
Accident,Town13_Rep0_1083_1_route0_01_09_09_28_15,R4_only,91,91,False,10,39,10,9,0,30,15,20,1,9,18.0,2.0
Accident,Town13_Rep0_1083_2_route0_01_08_17_23_27,R4_R5_shared,78,78,False,8,15,27,51,19,8,3,13,74,65,6.0,3.0
Accident,Town13_Rep0_1224_0_route0_01_09_04_28_42,R4_only,114,114,False,9,9,9,1,0,0,0,9,1,2,2.0,3.0
Accident,Town13_Rep0_1224_1_route0_01_09_12_27_29,R4_only,104,104,False,12,12,12,3,0,0,0,12,1,4,4.0,3.0
Accident,Town13_Rep0_1224_2_route0_01_09_00_36_24,R4_R5_shared,83,83,False,3,3,25,58,22,0,0,3,81,81,4.0,3.0
Accident,Town13_Rep0_1255_0_route0_01_10_11_22_44,no_visible_R4_R5,112,112,False,0,0,0,112,0,0,0,0,112,108,0.0,3.0
Accident,Town13_Rep0_1255_1_route0_01_09_07_42_54,no_visible_R4_R5,110,110,False,0,0,0,110,0,0,0,0,110,96,0.0,3.0
Accident,Town13_Rep0_1255_2_route0_01_10_23_54_07,no_visible_R4_R5,104,104,False,0,0,0,93,0,0,0,0,39,91,0.0,3.0
Accident,Town13_Rep0_1272_0_route0_01_11_02_23_33,no_visible_R4_R5,121,121,False,0,0,0,121,0,0,0,0,121,116,0.0,3.0
Accident,Town13_Rep0_1272_1_route0_01_08_08_39_11,no_visible_R4_R5,121,121,False,0,1,0,114,0,1,0,0,48,114,1.0,3.0
Accident,Town13_Rep0_1272_2_route0_01_10_21_53_59,no_visible_R4_R5,133,133,False,0,0,0,52,0,0,0,0,29,40,0.0,3.0
Accident,Town13_Rep0_1276_0_route0_01_08_09_18_26,no_visible_R4_R5,105,105,False,0,5,0,28,0,3,0,2,1,28,2.0,2.5
Accident,Town13_Rep0_1276_1_route0_01_11_06_29_10,no_visible_R4_R5,93,93,False,0,75,0,85,0,71,52,10,1,85,24.0,3.0
Accident,Town13_Rep0_1276_2_route0_01_09_15_47_09,no_visible_R4_R5,107,107,False,0,43,0,106,0,42,12,2,11,106,10.0,2.5833333333333335
Accident,Town13_Rep0_1281_0_route0_01_08_06_51_24,no_visible_R4_R5,106,106,False,0,73,0,105,0,72,49,4,104,100,22.0,3.0
Accident,Town13_Rep0_1281_1_route0_01_09_23_03_41,no_visible_R4_R5,107,107,False,0,81,0,107,0,81,56,6,106,101,22.0,3.0
Accident,Town13_Rep0_1281_2_route0_01_09_01_27_06,no_visible_R4_R5,116,116,False,0,71,0,80,0,71,12,4,2,80,8.0,3.0
Accident,Town13_Rep0_1286_0_route0_01_09_16_00_16,R4_R5_shared,201,201,False,129,185,132,60,3,184,122,12,62,192,26.0,3.0
Accident,Town13_Rep0_1286_1_route0_01_10_10_50_11,R4_R5_shared,186,186,False,127,178,134,52,7,176,118,6,185,185,21.0,3.0
Accident,Town13_Rep0_1286_2_route0_01_08_12_21_19,R4_only,193,193,False,83,83,83,42,0,78,0,6,13,47,3.0,3.0
Accident,Town13_Rep0_1392_0_route0_01_09_03_57_37,no_visible_R4_R5,104,104,False,0,0,0,104,0,0,0,0,104,88,0.0,3.0
Accident,Town13_Rep0_1392_2_route0_01_09_09_46_22,no_visible_R4_R5,102,102,False,0,32,0,99,0,30,7,5,1,99,6.0,3.0
Accident,Town13_Rep0_1627_0_route0_01_10_03_05_47,no_visible_R4_R5,153,153,False,0,0,0,1,0,0,0,0,1,1,0.0,2.5
Accident,Town13_Rep0_1627_1_route0_01_10_09_00_33,no_visible_R4_R5,101,101,False,0,0,0,101,0,0,0,0,101,73,0.0,3.0
Accident,Town13_Rep0_1627_2_route0_01_10_17_11_56,no_visible_R4_R5,114,114,False,0,0,0,1,0,0,0,0,1,1,0.0,2.5
Accident,Town13_Rep0_1683_0_route0_01_11_00_52_01,no_visible_R4_R5,131,131,False,0,4,0,99,0,4,0,0,65,90,1.0,2.333333333333333
Accident,Town13_Rep0_1683_1_route0_01_10_01_44_52,no_visible_R4_R5,105,105,False,0,19,0,87,0,19,1,0,2,86,16.0,1.5
Accident,Town13_Rep0_1683_2_route0_01_08_23_19_19,no_visible_R4_R5,124,124,False,0,1,0,95,0,1,0,0,3,95,3.0,1.5
Accident,Town13_Rep0_1707_0_route0_01_08_23_30_01,R5_only,103,103,False,0,81,44,27,44,78,12,9,70,57,54.0,3.0
Accident,Town13_Rep0_1707_1_route0_01_09_10_55_05,R5_only,83,83,False,0,61,2,70,2,57,12,45,6,72,73.0,3.0
