scenario,route_id,frame_count,annotation_status,annotation_num_frames,has_r2,r2_frames,r2_ratio,review_required_frames,review_required_ratio,abnormal_duration,status,first_sheet,sheet_dir,primary_rs_distribution,primary_event_distribution
AccidentTwoWays,Town12_Rep0_1979_0_route0_01_08_00_41_43,150,success,150,True,150,1.0,150,1.0,False,written,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_1979_0_route0_01_08_00_41_43/page_000.jpg,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_1979_0_route0_01_08_00_41_43,"{""R2"": 150}","{""R-E1"": 77, ""R-E2"": 32, ""U-E2"": 41}"
AccidentTwoWays,Town12_Rep0_2005_0_route0_01_10_14_03_07,204,success,204,True,204,1.0,204,1.0,False,written,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_2005_0_route0_01_10_14_03_07/page_000.jpg,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_2005_0_route0_01_10_14_03_07,"{""R2"": 204}","{""R-E1"": 111, ""R-E2"": 25, ""U-E2"": 68}"
AccidentTwoWays,Town12_Rep0_2724_0_route0_01_09_10_43_15,172,success,172,True,172,1.0,172,1.0,False,written,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_2724_0_route0_01_09_10_43_15/page_000.jpg,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_2724_0_route0_01_09_10_43_15,"{""R2"": 172}","{""R-E1"": 80, ""R-E2"": 21, ""U-E2"": 71}"
AccidentTwoWays,Town12_Rep0_2896_0_route0_01_08_20_11_39,195,success,195,True,195,1.0,195,1.0,False,written,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_2896_0_route0_01_08_20_11_39/page_000.jpg,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_2896_0_route0_01_08_20_11_39,"{""R2"": 195}","{""R-E1"": 104, ""R-E2"": 21, ""U-E2"": 70}"
AccidentTwoWays,Town12_Rep0_3403_0_route0_01_10_09_51_39,133,success,133,True,133,1.0,133,1.0,False,written,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_3403_0_route0_01_10_09_51_39/page_000.jpg,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_3403_0_route0_01_10_09_51_39,"{""R2"": 133}","{""R-E1"": 71, ""R-E2"": 27, ""U-E2"": 35}"
AccidentTwoWays,Town12_Rep0_3420_0_route0_01_08_12_19_15,181,success,181,True,181,1.0,181,1.0,False,written,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_3420_0_route0_01_08_12_19_15/page_000.jpg,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_3420_0_route0_01_08_12_19_15,"{""R2"": 181}","{""R-E1"": 88, ""R-E2"": 27, ""U-E2"": 66}"
AccidentTwoWays,Town12_Rep0_3455_0_route0_01_10_23_15_05,169,success,169,True,169,1.0,169,1.0,False,written,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_3455_0_route0_01_10_23_15_05/page_000.jpg,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_3455_0_route0_01_10_23_15_05,"{""R2"": 169}","{""R-E1"": 73, ""R-E2"": 24, ""U-E2"": 72}"
AccidentTwoWays,Town12_Rep0_3461_0_route0_01_09_02_21_43,103,success,103,True,103,1.0,103,1.0,False,written,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_3461_0_route0_01_09_02_21_43/page_000.jpg,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_3461_0_route0_01_09_02_21_43,"{""R2"": 103}","{""R-E1"": 26, ""R-E2"": 30, ""U-E2"": 47}"
AccidentTwoWays,Town12_Rep0_3525_0_route0_01_10_22_27_18,127,success,127,True,127,1.0,127,1.0,False,written,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_3525_0_route0_01_10_22_27_18/page_000.jpg,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_3525_0_route0_01_10_22_27_18,"{""R2"": 127}","{""R-E1"": 54, ""R-E2"": 30, ""U-E2"": 43}"
AccidentTwoWays,Town12_Rep0_3555_0_route0_01_09_17_30_18,170,success,170,True,170,1.0,170,1.0,False,written,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_3555_0_route0_01_09_17_30_18/page_000.jpg,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_3555_0_route0_01_09_17_30_18,"{""R2"": 170}","{""R-E1"": 79, ""R-E2"": 21, ""U-E2"": 70}"
AccidentTwoWays,Town12_Rep0_3562_0_route0_01_11_01_41_31,139,success,139,True,139,1.0,139,1.0,False,written,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_3562_0_route0_01_11_01_41_31/page_000.jpg,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_3562_0_route0_01_11_01_41_31,"{""R2"": 139}","{""R-E1"": 66, ""R-E2"": 37, ""U-E2"": 36}"
AccidentTwoWays,Town12_Rep0_3569_0_route0_01_08_15_10_38,142,success,142,True,142,1.0,142,1.0,False,written,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_3569_0_route0_01_08_15_10_38/page_000.jpg,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_3569_0_route0_01_08_15_10_38,"{""R2"": 142}","{""R-E1"": 71, ""R-E2"": 28, ""U-E2"": 43}"
AccidentTwoWays,Town12_Rep0_372_0_route0_01_10_19_15_40,176,success,176,True,176,1.0,176,1.0,False,written,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_372_0_route0_01_10_19_15_40/page_000.jpg,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_372_0_route0_01_10_19_15_40,"{""R2"": 176}","{""R-E1"": 85, ""R-E2"": 22, ""U-E2"": 69}"
AccidentTwoWays,Town12_Rep0_399_0_route0_01_09_22_59_03,160,success,160,True,160,1.0,160,1.0,False,written,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_399_0_route0_01_09_22_59_03/page_000.jpg,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_399_0_route0_01_09_22_59_03,"{""R2"": 160}","{""R-E1"": 69, ""R-E2"": 21, ""U-E2"": 70}"
AccidentTwoWays,Town12_Rep0_425_0_route0_01_09_12_21_59,189,success,189,True,189,1.0,189,1.0,False,written,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_425_0_route0_01_09_12_21_59/page_000.jpg,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_425_0_route0_01_09_12_21_59,"{""R2"": 189}","{""R-E1"": 96, ""R-E2"": 24, ""U-E2"": 69}"
AccidentTwoWays,Town12_Rep0_4297_0_route0_01_09_05_46_15,124,success,124,True,124,1.0,124,1.0,False,written,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_4297_0_route0_01_09_05_46_15/page_000.jpg,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_4297_0_route0_01_09_05_46_15,"{""R2"": 124}","{""R-E1"": 63, ""R-E2"": 28, ""U-E2"": 33}"
AccidentTwoWays,Town12_Rep0_4324_0_route0_01_08_15_56_42,170,success,170,True,170,1.0,170,1.0,False,written,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_4324_0_route0_01_08_15_56_42/page_000.jpg,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_4324_0_route0_01_08_15_56_42,"{""R2"": 170}","{""R-E1"": 105, ""R-E2"": 28, ""U-E2"": 37}"
AccidentTwoWays,Town12_Rep0_4335_0_route0_01_11_11_21_56,170,success,170,True,170,1.0,170,1.0,False,written,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_4335_0_route0_01_11_11_21_56/page_000.jpg,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_4335_0_route0_01_11_11_21_56,"{""R2"": 170}","{""R-E1"": 64, ""R-E2"": 36, ""U-E2"": 70}"
AccidentTwoWays,Town12_Rep0_4616_0_route0_01_09_00_32_24,160,success,160,True,160,1.0,160,1.0,False,written,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_4616_0_route0_01_09_00_32_24/page_000.jpg,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_4616_0_route0_01_09_00_32_24,"{""R2"": 160}","{""R-E1"": 80, ""R-E2"": 39, ""U-E2"": 41}"
AccidentTwoWays,Town12_Rep0_487_0_route0_01_08_16_56_41,158,success,158,True,158,1.0,158,1.0,False,written,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_487_0_route0_01_08_16_56_41/page_000.jpg,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_487_0_route0_01_08_16_56_41,"{""R2"": 158}","{""R-E1"": 66, ""R-E2"": 21, ""U-E2"": 71}"
AccidentTwoWays,Town12_Rep0_route_000021_route0_01_09_04_19_19,132,success,132,True,132,1.0,132,1.0,False,written,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_route_000021_route0_01_09_04_19_19/page_000.jpg,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_route_000021_route0_01_09_04_19_19,"{""R2"": 132}","{""R-E1"": 39, ""R-E2"": 24, ""U-E2"": 69}"
AccidentTwoWays,Town12_Rep0_route_000022_route0_01_08_10_25_20,101,success,101,True,101,1.0,101,1.0,False,written,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_route_000022_route0_01_08_10_25_20/page_000.jpg,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_route_000022_route0_01_08_10_25_20,"{""R2"": 101}","{""R-E1"": 36, ""R-E2"": 31, ""U-E2"": 34}"
AccidentTwoWays,Town12_Rep0_route_000023_route0_01_11_01_20_07,101,success,101,True,101,1.0,101,1.0,False,written,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_route_000023_route0_01_11_01_20_07/page_000.jpg,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_route_000023_route0_01_11_01_20_07,"{""R2"": 101}","{""R-E1"": 18, ""R-E2"": 32, ""U-E2"": 51}"
AccidentTwoWays,Town12_Rep0_route_000024_route0_01_08_14_58_52,109,success,109,True,109,1.0,109,1.0,False,written,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_route_000024_route0_01_08_14_58_52/page_000.jpg,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_route_000024_route0_01_08_14_58_52,"{""R2"": 109}","{""R-E1"": 16, ""R-E2"": 40, ""U-E2"": 53}"
AccidentTwoWays,Town12_Rep0_route_001369_route0_01_08_11_07_20,99,success,99,True,99,1.0,99,1.0,False,written,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_route_001369_route0_01_08_11_07_20/page_000.jpg,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_route_001369_route0_01_08_11_07_20,"{""R2"": 99}","{""R-E1"": 21, ""R-E2"": 31, ""U-E2"": 47}"
AccidentTwoWays,Town12_Rep0_route_002713_route0_01_09_04_24_20,82,success,82,True,82,1.0,82,1.0,False,written,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_route_002713_route0_01_09_04_24_20/page_000.jpg,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_route_002713_route0_01_09_04_24_20,"{""R2"": 82}","{""R-E1"": 49, ""R-E2"": 13, ""U-E2"": 20}"
AccidentTwoWays,Town12_Rep0_route_002714_route0_01_08_10_29_57,88,success,88,True,88,1.0,88,1.0,False,written,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_route_002714_route0_01_08_10_29_57/page_000.jpg,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_route_002714_route0_01_08_10_29_57,"{""R2"": 88}","{""R-E1"": 45, ""R-E2"": 14, ""U-E2"": 29}"
AccidentTwoWays,Town12_Rep0_route_002716_route0_01_08_00_40_06,95,success,95,True,95,1.0,95,1.0,False,written,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_route_002716_route0_01_08_00_40_06/page_000.jpg,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_route_002716_route0_01_08_00_40_06,"{""R2"": 95}","{""R-E1"": 42, ""R-E2"": 18, ""U-E2"": 35}"
AccidentTwoWays,Town12_Rep0_route_002720_route0_01_10_20_19_53,82,success,82,True,82,1.0,82,1.0,False,written,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_route_002720_route0_01_10_20_19_53/page_000.jpg,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_route_002720_route0_01_10_20_19_53,"{""R2"": 82}","{""R-E1"": 46, ""R-E2"": 13, ""U-E2"": 23}"
AccidentTwoWays,Town12_Rep0_route_002725_route0_01_11_02_30_08,105,success,105,True,105,1.0,105,1.0,False,written,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_route_002725_route0_01_11_02_30_08/page_000.jpg,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_route_002725_route0_01_11_02_30_08,"{""R2"": 105}","{""R-E1"": 55, ""R-E2"": 15, ""U-E2"": 35}"
AccidentTwoWays,Town12_Rep0_route_002729_route0_01_10_02_44_32,102,success,102,True,102,1.0,102,1.0,False,written,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_route_002729_route0_01_10_02_44_32/page_000.jpg,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_route_002729_route0_01_10_02_44_32,"{""R2"": 102}","{""R-E1"": 54, ""R-E2"": 15, ""U-E2"": 33}"
AccidentTwoWays,Town12_Rep0_route_002730_route0_01_09_16_06_54,104,success,104,True,104,1.0,104,1.0,False,written,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_route_002730_route0_01_09_16_06_54/page_000.jpg,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_route_002730_route0_01_09_16_06_54,"{""R2"": 104}","{""R-E1"": 54, ""R-E2"": 15, ""U-E2"": 35}"
AccidentTwoWays,Town12_Rep0_route_002731_route0_01_10_12_20_35,100,success,100,True,100,1.0,100,1.0,False,written,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_route_002731_route0_01_10_12_20_35/page_000.jpg,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_route_002731_route0_01_10_12_20_35,"{""R2"": 100}","{""R-E1"": 55, ""R-E2"": 14, ""U-E2"": 31}"
AccidentTwoWays,Town12_Rep0_route_002735_route0_01_08_17_19_03,95,success,95,True,95,1.0,95,1.0,False,written,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_route_002735_route0_01_08_17_19_03/page_000.jpg,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_route_002735_route0_01_08_17_19_03,"{""R2"": 95}","{""R-E1"": 43, ""R-E2"": 17, ""U-E2"": 35}"
AccidentTwoWays,Town12_Rep0_route_002737_route0_01_09_17_06_04,80,success,80,True,80,1.0,80,1.0,False,written,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_route_002737_route0_01_09_17_06_04/page_000.jpg,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_route_002737_route0_01_09_17_06_04,"{""R2"": 80}","{""R-E1"": 47, ""R-E2"": 12, ""U-E2"": 21}"
AccidentTwoWays,Town12_Rep0_route_002738_route0_01_10_20_04_16,91,success,91,True,91,1.0,91,1.0,False,written,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_route_002738_route0_01_10_20_04_16/page_000.jpg,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_route_002738_route0_01_10_20_04_16,"{""R2"": 91}","{""R-E1"": 43, ""R-E2"": 15, ""U-E2"": 33}"
AccidentTwoWays,Town12_Rep0_route_002742_route0_01_09_12_24_06,103,success,103,True,103,1.0,103,1.0,False,written,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_route_002742_route0_01_09_12_24_06/page_000.jpg,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_route_002742_route0_01_09_12_24_06,"{""R2"": 103}","{""R-E1"": 53, ""R-E2"": 16, ""U-E2"": 34}"
AccidentTwoWays,Town12_Rep0_route_002743_route0_01_09_02_31_47,87,success,87,True,87,1.0,87,1.0,False,written,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_route_002743_route0_01_09_02_31_47/page_000.jpg,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_route_002743_route0_01_09_02_31_47,"{""R2"": 87}","{""R-E1"": 47, ""R-E2"": 12, ""U-E2"": 28}"
AccidentTwoWays,Town12_Rep0_route_002744_route0_01_09_09_32_49,89,success,89,True,89,1.0,89,1.0,False,written,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_route_002744_route0_01_09_09_32_49/page_000.jpg,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_route_002744_route0_01_09_09_32_49,"{""R2"": 89}","{""R-E1"": 46, ""R-E2"": 13, ""U-E2"": 30}"
AccidentTwoWays,Town12_Rep0_route_002755_route0_01_11_02_53_57,94,success,94,True,94,1.0,94,1.0,False,written,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_route_002755_route0_01_11_02_53_57/page_000.jpg,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_route_002755_route0_01_11_02_53_57,"{""R2"": 94}","{""R-E1"": 42, ""R-E2"": 17, ""U-E2"": 35}"
