scenario,route_id,num_frames,overlay_frame_count,first_overlay_frame,last_overlay_frame,overlay_events,regular_events,source_unusual_events,max_age_frames
ConstructionObstacleTwoWays,Town12_Rep0_route_002691_route0_01_09_05_47_51,158,4,139,142,R-E2|U-E2,R-E4,U-E2,4
ConstructionObstacleTwoWays,Town12_Rep0_route_002707_route0_01_11_02_09_49,284,4,264,267,R-E2|U-E2,R-E4,U-E2,4
ConstructionObstacleTwoWays,Town13_Rep0_route_001243_route0_01_10_05_01_09,192,6,53,58,R-E2|U-E2,R-E4,U-E2,6
ConstructionObstacleTwoWays,Town13_Rep0_route_001244_route0_01_10_23_04_54,169,6,80,85,R-E2|U-E2,R-E4,U-E2,6
ConstructionObstacleTwoWays,Town13_Rep0_route_001252_route0_01_10_16_43_23,253,4,90,93,R-E2|U-E2,R-E4,U-E2,4
ConstructionObstacleTwoWays,Town13_Rep0_route_001257_route0_01_10_08_50_32,313,6,87,92,R-E2|U-E2,R-E4,U-E2,6
ConstructionObstacleTwoWays,Town13_Rep0_route_001261_route0_01_11_04_04_11,219,4,89,92,R-E2|U-E2,R-E4,U-E2,4
ConstructionObstacleTwoWays,Town13_Rep0_route_001264_route0_01_10_05_22_37,317,4,86,89,R-E2|U-E2,R-E4,U-E2,4
ConstructionObstacleTwoWays,Town13_Rep0_route_001266_route0_01_09_12_36_40,254,4,90,93,R-E2|U-E2,R-E4,U-E2,4
ConstructionObstacleTwoWays,Town13_Rep0_route_001270_route0_01_09_04_22_56,216,5,86,90,R-E2|U-E2,R-E4,U-E2,5
ConstructionObstacleTwoWays,Town13_Rep0_route_003163_route0_01_08_15_26_41,233,4,109,112,R-E2|U-E2,R-E4,U-E2,4
ConstructionObstacleTwoWays,Town13_Rep0_route_003165_route0_01_07_21_30_41,189,5,53,57,R-E2|U-E2,R-E4,U-E2,5
ConstructionObstacleTwoWays,Town13_Rep0_route_003167_route0_01_09_17_34_57,208,6,80,85,R-E2|U-E2,R-E4,U-E2,6
ConstructionObstacleTwoWays,Town13_Rep0_route_003168_route0_01_10_13_40_23,185,5,54,58,R-E2|U-E2,R-E4,U-E2,5
ConstructionObstacleTwoWays,Town13_Rep0_route_003170_route0_01_09_03_27_23,190,5,53,57,R-E2|U-E2,R-E4,U-E2,5
ConstructionObstacleTwoWays,Town13_Rep0_route_003173_route0_01_10_13_46_17,184,5,53,57,R-E2|U-E2,R-E4,U-E2,5
ConstructionObstacleTwoWays,Town13_Rep0_route_003174_route0_01_10_14_19_47,181,4,53,56,R-E2|U-E2,R-E4,U-E2,4
ConstructionObstacleTwoWays,Town13_Rep0_route_003175_route0_01_10_08_31_22,182,5,52,56,R-E2|U-E2,R-E4,U-E2,5
ConstructionObstacleTwoWays,Town13_Rep0_route_003179_route0_01_07_22_29_17,184,4,53,56,R-E2|U-E2,R-E4,U-E2,4
ConstructionObstacleTwoWays,Town13_Rep0_route_003192_route0_01_10_11_34_01,187,5,55,59,R-E2|U-E2,R-E4,U-E2,5
ConstructionObstacleTwoWays,Town13_Rep0_route_003208_route0_01_09_13_39_35,184,4,53,56,R-E2|U-E2,R-E4,U-E2,4
CrossingBicycleFlow,Town12_Rep0_136_0_route0_01_08_23_03_51,146,24,22,45,U-E4,R-E4,U-E4,24
CrossingBicycleFlow,Town12_Rep0_136_1_route0_01_10_21_53_51,146,24,45,68,U-E4,R-E4,U-E4,24
CrossingBicycleFlow,Town12_Rep0_136_2_route0_01_10_07_45_12,145,24,43,66,U-E4,R-E4,U-E4,24
CrossingBicycleFlow,Town12_Rep0_136_3_route0_01_09_08_58_29,146,24,38,61,U-E4,R-E4,U-E4,24
CrossingBicycleFlow,Town12_Rep0_3985_0_route0_01_11_05_09_02,105,24,39,62,U-E4,R-E4,U-E4,24
CrossingBicycleFlow,Town12_Rep0_3985_1_route0_01_07_21_28_47,92,24,27,50,U-E4,R-E4,U-E4,24
CrossingBicycleFlow,Town12_Rep0_684_0_route0_01_11_09_15_07,127,24,40,63,U-E4,R-E4,U-E4,24
CrossingBicycleFlow,Town12_Rep0_684_1_route0_01_10_04_08_46,124,24,35,58,U-E4,R-E4,U-E4,24
CrossingBicycleFlow,Town12_Rep0_684_2_route0_01_09_23_50_11,126,24,43,66,U-E4,R-E4,U-E4,24
CrossingBicycleFlow,Town12_Rep0_684_3_route0_01_08_12_31_17,124,24,22,45,U-E4,R-E4,U-E4,24
CrossingBicycleFlow,Town12_Rep0_823_0_route0_01_10_16_07_44,99,23,42,64,U-E4,R-E4,U-E4,23
CrossingBicycleFlow,Town12_Rep0_823_1_route0_01_11_03_18_57,97,24,27,50,U-E4,R-E4,U-E4,24
CrossingBicycleFlow,Town12_Rep0_823_2_route0_01_09_02_16_19,96,24,25,48,U-E4,R-E4,U-E4,24
CrossingBicycleFlow,Town12_Rep0_823_3_route0_01_11_02_09_27,104,22,42,63,U-E4,R-E4,U-E4,22
DynamicObjectCrossing,Town06_Rep0_Town06_Scenario3_4_route0_01_09_04_18_32,158,2,137,138,U-E3,R-E4,U-E3,2
DynamicObjectCrossing,Town12_Rep0_4346_0_route0_01_10_10_04_31,155,10,99,108,U-E4,R-E4,U-E4,10
HardBreakRoute,Town12_Rep0_1669_0_route0_01_10_21_58_25,150,10,14,23,U-E1,R-E5,U-E1,10
HardBreakRoute,Town13_Rep0_1134_0_route0_01_11_06_57_07,153,8,15,22,U-E1,R-E5,U-E1,8
ParkedObstacle,Town06_Rep0_route_001930_route0_01_09_05_33_11,109,24,68,91,R-E2|U-E2,R-E4,U-E2,24
ParkingCrossingPedestrian,Town12_Rep0_178_0_route0_01_10_13_19_39,147,18,25,42,U-E4,R-E4,U-E4,18
ParkingCrossingPedestrian,Town12_Rep0_254_0_route0_01_09_18_50_59,205,18,28,45,U-E4,R-E4,U-E4,18
ParkingCrossingPedestrian,Town12_Rep0_254_1_route0_01_10_02_32_26,218,21,28,48,U-E4,R-E4,U-E4,21
ParkingCrossingPedestrian,Town12_Rep0_3242_0_route0_01_10_04_47_15,220,16,32,47,U-E4,R-E4,U-E4,16
ParkingCrossingPedestrian,Town12_Rep0_3654_0_route0_01_09_16_08_28,330,16,175,190,U-E4,R-E4,U-E4,16
ParkingCrossingPedestrian,Town12_Rep0_3690_0_route0_01_08_12_06_26,221,12,164,175,U-E4,R-E4,U-E4,12
ParkingCrossingPedestrian,Town13_Rep0_1035_1_route0_01_09_14_35_29,277,16,105,120,U-E4,R-E4,U-E4,16
ParkingCrossingPedestrian,Town13_Rep0_1124_0_route0_01_10_10_56_09,215,22,39,60,U-E4,R-E4,U-E4,22
ParkingCutIn,Town12_Rep0_1091_0_route0_01_09_13_12_55,208,24,28,51,U-E3,R-E4,U-E3,24
ParkingCutIn,Town12_Rep0_1091_1_route0_01_09_05_21_50,209,24,30,53,U-E3,R-E4,U-E3,24
ParkingCutIn,Town12_Rep0_157_0_route0_01_09_05_58_26,111,24,53,76,U-E3,R-E4,U-E3,24
ParkingCutIn,Town12_Rep0_1674_0_route0_01_11_02_46_23,158,24,25,48,U-E3,R-E4,U-E3,24
ParkingCutIn,Town12_Rep0_1674_1_route0_01_08_21_16_24,152,24,25,48,U-E3,R-E4,U-E3,24
ParkingCutIn,Town12_Rep0_1757_0_route0_01_07_21_28_49,169,24,51,74,U-E3,R-E4,U-E3,24
ParkingCutIn,Town12_Rep0_191_0_route0_01_09_04_55_30,335,24,157,180,U-E3,R-E4,U-E3,24
ParkingCutIn,Town12_Rep0_204_0_route0_01_10_09_56_58,154,17,48,64,U-E3,R-E5,U-E3,17
ParkingCutIn,Town12_Rep0_204_1_route0_01_08_13_53_11,103,18,53,70,U-E3,R-E5,U-E3,18
ParkingCutIn,Town12_Rep0_215_0_route0_01_09_21_35_17,347,24,156,179,U-E3,R-E4,U-E3,24
ParkingCutIn,Town12_Rep0_2625_0_route0_01_09_21_11_59,219,24,29,52,U-E3,R-E4,U-E3,24
ParkingCutIn,Town12_Rep0_2826_1_route0_01_11_07_37_38,285,5,168,172,U-E3,R-E4,U-E3,5
ParkingCutIn,Town12_Rep0_3204_0_route0_01_08_05_06_56,94,4,58,61,U-E3,R-E5,U-E3,4
ParkingCutIn,Town12_Rep0_3295_0_route0_01_08_15_03_05,206,24,31,54,U-E3,R-E4,U-E3,24
ParkingCutIn,Town12_Rep0_3295_1_route0_01_09_19_45_55,205,24,32,55,U-E3,R-E4,U-E3,24
ParkingCutIn,Town12_Rep0_3311_0_route0_01_10_03_40_26,121,6,70,75,U-E3,R-E5,U-E3,6
ParkingCutIn,Town12_Rep0_3720_0_route0_01_08_23_43_25,282,24,27,50,U-E3,R-E4,U-E3,24
ParkingCutIn,Town12_Rep0_3720_1_route0_01_09_04_31_08,280,24,29,52,U-E3,R-E4,U-E3,24
ParkingCutIn,Town12_Rep0_3895_0_route0_01_09_13_00_18,283,24,28,51,U-E3,R-E4,U-E3,24
ParkingCutIn,Town12_Rep0_607_0_route0_01_08_14_34_13,105,24,52,75,U-E3,R-E4,U-E3,24
ParkingCutIn,Town12_Rep0_815_0_route0_01_11_07_21_33,344,24,213,236,U-E3,R-E4,U-E3,24
PedestrianCrossing,Town12_Rep0_2679_0_route0_01_09_06_50_41,125,24,32,55,U-E4,R-E5,U-E4,24
PedestrianCrossing,Town13_Rep0_13_0_route0_01_09_02_23_44,118,24,28,51,U-E4,R-E5,U-E4,24
VehicleOpensDoorTwoWays,Town12_Rep0_3315_0_route0_01_08_13_44_23,330,24,250,273,R-E2|U-E2,R-E4,U-E2,24
VehicleOpensDoorTwoWays,Town12_Rep0_549_0_route0_01_09_07_00_25,86,24,54,77,R-E2|U-E2,R-E4,U-E2,24
VehicleOpensDoorTwoWays,Town12_Rep0_719_0_route0_01_08_03_34_07,76,24,48,71,R-E2|U-E2,R-E4,U-E2,24
VehicleOpensDoorTwoWays,Town12_Rep0_719_1_route0_01_10_21_42_02,78,24,48,71,R-E2|U-E2,R-E4,U-E2,24
VehicleOpensDoorTwoWays,Town13_Rep0_1020_0_route0_01_09_22_26_05,312,24,159,182,R-E2|U-E2,R-E4,U-E2,24
VehicleOpensDoorTwoWays,Town13_Rep0_1020_1_route0_01_10_20_38_51,312,24,159,182,R-E2|U-E2,R-E4,U-E2,24
VehicleOpensDoorTwoWays,Town13_Rep0_1020_2_route0_01_09_21_58_58,313,24,159,182,R-E2|U-E2,R-E4,U-E2,24
VehicleTurningRoute,Town03_Rep0_Town03_Scenario4_36_route0_01_09_02_01_08,78,22,43,64,U-E4,R-E5,U-E4,22
VehicleTurningRoute,Town07_Rep0_Town07_Scenario4_49_route0_01_08_15_25_03,81,7,45,51,U-E4,R-E5,U-E4,7
VehicleTurningRoute,Town07_Rep0_Town07_Scenario4_80_route0_01_09_19_02_18,63,7,30,36,U-E4,R-E5,U-E4,7
VehicleTurningRoute,Town07_Rep0_Town07_Scenario4_83_route0_01_10_19_47_17,61,7,29,35,U-E4,R-E5,U-E4,7
VehicleTurningRoute,Town13_Rep0_1225_0_route0_01_09_10_40_20,94,8,34,41,U-E4,R-E5,U-E4,8
