scenario,route_id,frame_id,primary_road_structure,primary_event,events,regular_event,overlay_event,source_unusual_event,base_road_structure,intersection_road_structure,age_frames,age_seconds,max_frames,recovery_age_frames,recovery_max_frames,phase,reason
Accident,Town05_Rep0_route_001775_route0_01_08_20_19_47,122,R5,R-E2,R-E2|R-E5,R-E5,R-E2,U-E2,R1,R5,22,5.5,24,1,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
Accident,Town05_Rep0_route_001775_route0_01_08_20_19_47,123,R5,R-E2,R-E2|R-E5,R-E5,R-E2,U-E2,R1,R5,23,5.75,24,2,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
Accident,Town05_Rep0_route_001775_route0_01_08_20_19_47,124,R5,R-E2,R-E2|R-E5,R-E5,R-E2,U-E2,R1,R5,24,6.0,24,3,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
Accident,Town12_Rep0_645_0_route0_01_09_01_03_44,155,R4,R-E2,R-E2|R-E4,R-E4,R-E2,U-E2,R1,R4,1,0.25,24,1,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
Accident,Town12_Rep0_645_0_route0_01_09_01_03_44,156,R4,R-E2,R-E2|R-E4,R-E4,R-E2,U-E2,R1,R4,2,0.5,24,2,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
Accident,Town12_Rep0_645_0_route0_01_09_01_03_44,157,R4,R-E2,R-E2|R-E4,R-E4,R-E2,U-E2,R1,R4,3,0.75,24,3,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
Accident,Town12_Rep0_645_0_route0_01_09_01_03_44,158,R4,U-E2,R-E4|U-E2,R-E4,U-E2,U-E2,R1,R4,4,1.0,24,0,12,unusual_still_active,unusual_event_interrupted_by_intersection_rs
Accident,Town12_Rep0_645_0_route0_01_09_01_03_44,159,R4,U-E2,R-E4|U-E2,R-E4,U-E2,U-E2,R1,R4,5,1.25,24,0,12,unusual_still_active,unusual_event_interrupted_by_intersection_rs
Accident,Town12_Rep0_645_0_route0_01_09_01_03_44,160,R4,U-E2,R-E4|U-E2,R-E4,U-E2,U-E2,R1,R4,6,1.5,24,0,12,unusual_still_active,unusual_event_interrupted_by_intersection_rs
Accident,Town12_Rep0_645_0_route0_01_09_01_03_44,161,R4,R-E2,R-E2|R-E4,R-E4,R-E2,U-E2,R1,R4,7,1.75,24,1,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
Accident,Town12_Rep0_645_0_route0_01_09_01_03_44,162,R4,U-E2,R-E4|U-E2,R-E4,U-E2,U-E2,R1,R4,8,2.0,24,0,12,unusual_still_active,unusual_event_interrupted_by_intersection_rs
Accident,Town12_Rep0_645_0_route0_01_09_01_03_44,163,R4,U-E2,R-E4|U-E2,R-E4,U-E2,U-E2,R1,R4,9,2.25,24,0,12,unusual_still_active,unusual_event_interrupted_by_intersection_rs
Accident,Town12_Rep0_645_0_route0_01_09_01_03_44,164,R4,U-E2,R-E4|U-E2,R-E4,U-E2,U-E2,R1,R4,10,2.5,24,0,12,unusual_still_active,unusual_event_interrupted_by_intersection_rs
Accident,Town12_Rep0_645_0_route0_01_09_01_03_44,165,R4,R-E2,R-E2|R-E4,R-E4,R-E2,U-E2,R1,R4,11,2.75,24,1,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
Accident,Town12_Rep0_645_0_route0_01_09_01_03_44,166,R4,R-E2,R-E2|R-E4,R-E4,R-E2,U-E2,R1,R4,12,3.0,24,2,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
Accident,Town12_Rep0_645_0_route0_01_09_01_03_44,167,R4,U-E2,R-E4|U-E2,R-E4,U-E2,U-E2,R1,R4,13,3.25,24,0,12,unusual_still_active,unusual_event_interrupted_by_intersection_rs
Accident,Town12_Rep0_645_0_route0_01_09_01_03_44,168,R4,U-E2,R-E4|U-E2,R-E4,U-E2,U-E2,R1,R4,14,3.5,24,0,12,unusual_still_active,unusual_event_interrupted_by_intersection_rs
Accident,Town12_Rep0_645_0_route0_01_09_01_03_44,169,R4,U-E2,R-E4|U-E2,R-E4,U-E2,U-E2,R1,R4,15,3.75,24,0,12,unusual_still_active,unusual_event_interrupted_by_intersection_rs
Accident,Town12_Rep0_645_0_route0_01_09_01_03_44,170,R4,U-E2,R-E4|U-E2,R-E4,U-E2,U-E2,R1,R4,16,4.0,24,0,12,unusual_still_active,unusual_event_interrupted_by_intersection_rs
Accident,Town12_Rep0_645_0_route0_01_09_01_03_44,171,R4,U-E2,R-E4|U-E2,R-E4,U-E2,U-E2,R1,R4,17,4.25,24,0,12,unusual_still_active,unusual_event_interrupted_by_intersection_rs
Accident,Town12_Rep0_645_0_route0_01_09_01_03_44,172,R4,U-E2,R-E4|U-E2,R-E4,U-E2,U-E2,R1,R4,18,4.5,24,0,12,unusual_still_active,unusual_event_interrupted_by_intersection_rs
Accident,Town12_Rep0_645_0_route0_01_09_01_03_44,173,R4,U-E2,R-E4|U-E2,R-E4,U-E2,U-E2,R1,R4,19,4.75,24,0,12,unusual_still_active,unusual_event_interrupted_by_intersection_rs
Accident,Town12_Rep0_645_0_route0_01_09_01_03_44,174,R4,R-E2,R-E2|R-E4,R-E4,R-E2,U-E2,R1,R4,20,5.0,24,1,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
Accident,Town12_Rep0_645_0_route0_01_09_01_03_44,175,R4,R-E2,R-E2|R-E4,R-E4,R-E2,U-E2,R1,R4,21,5.25,24,2,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
Accident,Town12_Rep0_645_0_route0_01_09_01_03_44,176,R4,U-E2,R-E4|U-E2,R-E4,U-E2,U-E2,R1,R4,22,5.5,24,0,12,unusual_still_active,unusual_event_interrupted_by_intersection_rs
Accident,Town12_Rep0_645_0_route0_01_09_01_03_44,177,R4,R-E2,R-E2|R-E4,R-E4,R-E2,U-E2,R1,R4,23,5.75,24,1,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
Accident,Town12_Rep0_645_0_route0_01_09_01_03_44,178,R4,U-E2,R-E4|U-E2,R-E4,U-E2,U-E2,R1,R4,24,6.0,24,0,12,unusual_still_active,unusual_event_interrupted_by_intersection_rs
Accident,Town13_Rep0_4_0_route0_01_10_03_46_29,74,R5,R-E2,R-E2|R-E5,R-E5,R-E2,U-E2,R1,R5,1,0.25,24,1,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
Accident,Town13_Rep0_4_0_route0_01_10_03_46_29,75,R5,R-E2,R-E2|R-E5,R-E5,R-E2,U-E2,R1,R5,2,0.5,24,2,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
Accident,Town13_Rep0_4_0_route0_01_10_03_46_29,76,R5,R-E2,R-E2|R-E5,R-E5,R-E2,U-E2,R1,R5,3,0.75,24,3,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
Accident,Town13_Rep0_4_0_route0_01_10_03_46_29,77,R5,R-E2,R-E2|R-E5,R-E5,R-E2,U-E2,R1,R5,4,1.0,24,4,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
Accident,Town13_Rep0_4_0_route0_01_10_03_46_29,78,R5,R-E2,R-E2|R-E5,R-E5,R-E2,U-E2,R1,R5,5,1.25,24,5,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
Accident,Town13_Rep0_4_0_route0_01_10_03_46_29,79,R5,U-E2,R-E5|U-E2,R-E5,U-E2,U-E2,R1,R5,6,1.5,24,0,12,unusual_still_active,unusual_event_interrupted_by_intersection_rs
Accident,Town13_Rep0_4_0_route0_01_10_03_46_29,80,R5,U-E2,R-E5|U-E2,R-E5,U-E2,U-E2,R1,R5,7,1.75,24,0,12,unusual_still_active,unusual_event_interrupted_by_intersection_rs
Accident,Town13_Rep0_4_0_route0_01_10_03_46_29,81,R5,R-E2,R-E2|R-E5,R-E5,R-E2,U-E2,R1,R5,8,2.0,24,1,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
Accident,Town13_Rep0_4_0_route0_01_10_03_46_29,82,R5,R-E2,R-E2|R-E5,R-E5,R-E2,U-E2,R1,R5,9,2.25,24,2,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
Accident,Town13_Rep0_4_0_route0_01_10_03_46_29,83,R5,R-E2,R-E2|R-E5,R-E5,R-E2,U-E2,R1,R5,10,2.5,24,3,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
Accident,Town13_Rep0_4_0_route0_01_10_03_46_29,84,R5,R-E2,R-E2|R-E5,R-E5,R-E2,U-E2,R1,R5,11,2.75,24,4,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
Accident,Town13_Rep0_4_0_route0_01_10_03_46_29,85,R5,R-E2,R-E2|R-E5,R-E5,R-E2,U-E2,R1,R5,12,3.0,24,5,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
Accident,Town13_Rep0_4_0_route0_01_10_03_46_29,86,R5,R-E2,R-E2|R-E5,R-E5,R-E2,U-E2,R1,R5,13,3.25,24,6,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
Accident,Town13_Rep0_4_0_route0_01_10_03_46_29,87,R5,R-E2,R-E2|R-E5,R-E5,R-E2,U-E2,R1,R5,14,3.5,24,7,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
Accident,Town13_Rep0_4_0_route0_01_10_03_46_29,88,R5,U-E2,R-E5|U-E2,R-E5,U-E2,U-E2,R1,R5,15,3.75,24,0,12,unusual_still_active,unusual_event_interrupted_by_intersection_rs
Accident,Town13_Rep0_4_0_route0_01_10_03_46_29,89,R5,R-E2,R-E2|R-E5,R-E5,R-E2,U-E2,R1,R5,16,4.0,24,1,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
Accident,Town13_Rep0_4_0_route0_01_10_03_46_29,90,R5,R-E2,R-E2|R-E5,R-E5,R-E2,U-E2,R1,R5,17,4.25,24,2,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
Accident,Town13_Rep0_4_0_route0_01_10_03_46_29,91,R5,R-E2,R-E2|R-E5,R-E5,R-E2,U-E2,R1,R5,18,4.5,24,3,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
Accident,Town13_Rep0_4_0_route0_01_10_03_46_29,92,R5,R-E2,R-E2|R-E5,R-E5,R-E2,U-E2,R1,R5,19,4.75,24,4,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
Accident,Town13_Rep0_4_0_route0_01_10_03_46_29,93,R5,R-E2,R-E2|R-E5,R-E5,R-E2,U-E2,R1,R5,20,5.0,24,5,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
Accident,Town13_Rep0_4_0_route0_01_10_03_46_29,94,R5,R-E2,R-E2|R-E5,R-E5,R-E2,U-E2,R1,R5,21,5.25,24,6,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
AccidentTwoWays,Town15_Rep0_route_001385_route0_01_08_22_13_42,95,R5,U-E2,R-E5|U-E2,R-E5,U-E2,U-E2,R2,R5,1,0.25,24,0,12,unusual_still_active,unusual_event_interrupted_by_intersection_rs
ConstructionObstacle,Town06_Rep0_route_002027_route0_01_10_02_33_03,75,R4,U-E2,R-E4|U-E2,R-E4,U-E2,U-E2,R1,R4,1,0.25,24,0,12,unusual_still_active,unusual_event_interrupted_by_intersection_rs
ConstructionObstacle,Town06_Rep0_route_002027_route0_01_10_02_33_03,76,R4,R-E2,R-E2|R-E4,R-E4,R-E2,U-E2,R1,R4,2,0.5,24,1,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
ConstructionObstacle,Town06_Rep0_route_002027_route0_01_10_02_33_03,77,R4,R-E2,R-E2|R-E4,R-E4,R-E2,U-E2,R1,R4,3,0.75,24,2,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
ConstructionObstacle,Town06_Rep0_route_002027_route0_01_10_02_33_03,78,R4,R-E2,R-E2|R-E4,R-E4,R-E2,U-E2,R1,R4,4,1.0,24,3,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
ConstructionObstacle,Town06_Rep0_route_002027_route0_01_10_02_33_03,79,R4,U-E2,R-E4|U-E2,R-E4,U-E2,U-E2,R1,R4,5,1.25,24,0,12,unusual_still_active,unusual_event_interrupted_by_intersection_rs
ConstructionObstacle,Town06_Rep0_route_002027_route0_01_10_02_33_03,80,R4,U-E2,R-E4|U-E2,R-E4,U-E2,U-E2,R1,R4,6,1.5,24,0,12,unusual_still_active,unusual_event_interrupted_by_intersection_rs
ConstructionObstacle,Town06_Rep0_route_002027_route0_01_10_02_33_03,81,R4,U-E2,R-E4|U-E2,R-E4,U-E2,U-E2,R1,R4,7,1.75,24,0,12,unusual_still_active,unusual_event_interrupted_by_intersection_rs
ConstructionObstacle,Town06_Rep0_route_002027_route0_01_10_02_33_03,82,R4,U-E2,R-E4|U-E2,R-E4,U-E2,U-E2,R1,R4,8,2.0,24,0,12,unusual_still_active,unusual_event_interrupted_by_intersection_rs
ConstructionObstacle,Town06_Rep0_route_002027_route0_01_10_02_33_03,83,R4,U-E2,R-E4|U-E2,R-E4,U-E2,U-E2,R1,R4,9,2.25,24,0,12,unusual_still_active,unusual_event_interrupted_by_intersection_rs
ConstructionObstacle,Town06_Rep0_route_002027_route0_01_10_02_33_03,84,R4,R-E2,R-E2|R-E4,R-E4,R-E2,U-E2,R1,R4,10,2.5,24,1,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
ConstructionObstacle,Town06_Rep0_route_002027_route0_01_10_02_33_03,85,R4,R-E2,R-E2|R-E4,R-E4,R-E2,U-E2,R1,R4,11,2.75,24,2,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
ConstructionObstacle,Town06_Rep0_route_002027_route0_01_10_02_33_03,86,R4,U-E2,R-E4|U-E2,R-E4,U-E2,U-E2,R1,R4,12,3.0,24,0,12,unusual_still_active,unusual_event_interrupted_by_intersection_rs
ConstructionObstacle,Town06_Rep0_route_002027_route0_01_10_02_33_03,87,R4,U-E2,R-E4|U-E2,R-E4,U-E2,U-E2,R1,R4,13,3.25,24,0,12,unusual_still_active,unusual_event_interrupted_by_intersection_rs
ConstructionObstacle,Town06_Rep0_route_002027_route0_01_10_02_33_03,88,R4,R-E2,R-E2|R-E4,R-E4,R-E2,U-E2,R1,R4,14,3.5,24,1,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
ConstructionObstacle,Town06_Rep0_route_002027_route0_01_10_02_33_03,89,R4,R-E2,R-E2|R-E4,R-E4,R-E2,U-E2,R1,R4,15,3.75,24,2,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
ConstructionObstacle,Town06_Rep0_route_002027_route0_01_10_02_33_03,90,R4,R-E2,R-E2|R-E4,R-E4,R-E2,U-E2,R1,R4,16,4.0,24,3,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
ConstructionObstacle,Town06_Rep0_route_002027_route0_01_10_02_33_03,91,R4,R-E2,R-E2|R-E4,R-E4,R-E2,U-E2,R1,R4,17,4.25,24,4,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
ConstructionObstacle,Town06_Rep0_route_002027_route0_01_10_02_33_03,92,R4,R-E2,R-E2|R-E4,R-E4,R-E2,U-E2,R1,R4,18,4.5,24,5,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
ConstructionObstacle,Town06_Rep0_route_002027_route0_01_10_02_33_03,93,R4,R-E2,R-E2|R-E4,R-E4,R-E2,U-E2,R1,R4,19,4.75,24,6,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
ConstructionObstacle,Town06_Rep0_route_002034_route0_01_08_19_55_03,71,R5,U-E2,R-E5|U-E2,R-E5,U-E2,U-E2,R1,R5,1,0.25,24,0,12,unusual_still_active,unusual_event_interrupted_by_intersection_rs
ConstructionObstacle,Town06_Rep0_route_002034_route0_01_08_19_55_03,72,R5,U-E2,R-E5|U-E2,R-E5,U-E2,U-E2,R1,R5,2,0.5,24,0,12,unusual_still_active,unusual_event_interrupted_by_intersection_rs
ConstructionObstacle,Town06_Rep0_route_002034_route0_01_08_19_55_03,73,R5,R-E2,R-E2|R-E5,R-E5,R-E2,U-E2,R1,R5,3,0.75,24,1,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
ConstructionObstacle,Town06_Rep0_route_002034_route0_01_08_19_55_03,74,R5,R-E2,R-E2|R-E5,R-E5,R-E2,U-E2,R1,R5,4,1.0,24,2,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
ConstructionObstacle,Town06_Rep0_route_002034_route0_01_08_19_55_03,75,R5,R-E2,R-E2|R-E5,R-E5,R-E2,U-E2,R1,R5,5,1.25,24,3,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
ConstructionObstacle,Town06_Rep0_route_002034_route0_01_08_19_55_03,76,R5,R-E2,R-E2|R-E5,R-E5,R-E2,U-E2,R1,R5,6,1.5,24,4,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
ConstructionObstacle,Town06_Rep0_route_002034_route0_01_08_19_55_03,77,R5,R-E2,R-E2|R-E5,R-E5,R-E2,U-E2,R1,R5,7,1.75,24,5,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
ConstructionObstacle,Town06_Rep0_route_002034_route0_01_08_19_55_03,78,R5,R-E2,R-E2|R-E5,R-E5,R-E2,U-E2,R1,R5,8,2.0,24,6,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
ConstructionObstacle,Town06_Rep0_route_002034_route0_01_08_19_55_03,79,R5,R-E2,R-E2|R-E5,R-E5,R-E2,U-E2,R1,R5,9,2.25,24,7,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
ConstructionObstacle,Town06_Rep0_route_002034_route0_01_08_19_55_03,80,R5,R-E2,R-E2|R-E5,R-E5,R-E2,U-E2,R1,R5,10,2.5,24,8,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
ConstructionObstacle,Town06_Rep0_route_002034_route0_01_08_19_55_03,81,R5,R-E2,R-E2|R-E5,R-E5,R-E2,U-E2,R1,R5,11,2.75,24,9,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
ConstructionObstacle,Town06_Rep0_route_002034_route0_01_08_19_55_03,82,R5,R-E2,R-E2|R-E5,R-E5,R-E2,U-E2,R1,R5,12,3.0,24,10,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
ConstructionObstacle,Town06_Rep0_route_002034_route0_01_08_19_55_03,83,R5,U-E2,R-E5|U-E2,R-E5,U-E2,U-E2,R1,R5,13,3.25,24,0,12,unusual_still_active,unusual_event_interrupted_by_intersection_rs
ConstructionObstacle,Town06_Rep0_route_002034_route0_01_08_19_55_03,84,R5,U-E2,R-E5|U-E2,R-E5,U-E2,U-E2,R1,R5,14,3.5,24,0,12,unusual_still_active,unusual_event_interrupted_by_intersection_rs
ConstructionObstacle,Town06_Rep0_route_002034_route0_01_08_19_55_03,85,R5,R-E2,R-E2|R-E5,R-E5,R-E2,U-E2,R1,R5,15,3.75,24,1,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
ConstructionObstacle,Town06_Rep0_route_002034_route0_01_08_19_55_03,86,R5,U-E2,R-E5|U-E2,R-E5,U-E2,U-E2,R1,R5,16,4.0,24,0,12,unusual_still_active,unusual_event_interrupted_by_intersection_rs
ConstructionObstacle,Town06_Rep0_route_002036_route0_01_10_16_11_36,34,R5,U-E2,R-E5|U-E2,R-E5,U-E2,U-E2,R1,R5,1,0.25,24,0,12,unusual_still_active,unusual_event_interrupted_by_intersection_rs
ConstructionObstacle,Town06_Rep0_route_002036_route0_01_10_16_11_36,35,R5,U-E2,R-E5|U-E2,R-E5,U-E2,U-E2,R1,R5,2,0.5,24,0,12,unusual_still_active,unusual_event_interrupted_by_intersection_rs
ConstructionObstacle,Town06_Rep0_route_002036_route0_01_10_16_11_36,36,R5,U-E2,R-E5|U-E2,R-E5,U-E2,U-E2,R1,R5,3,0.75,24,0,12,unusual_still_active,unusual_event_interrupted_by_intersection_rs
ConstructionObstacle,Town06_Rep0_route_002036_route0_01_10_16_11_36,37,R5,U-E2,R-E5|U-E2,R-E5,U-E2,U-E2,R1,R5,4,1.0,24,0,12,unusual_still_active,unusual_event_interrupted_by_intersection_rs
ConstructionObstacle,Town06_Rep0_route_002036_route0_01_10_16_11_36,38,R5,U-E2,R-E5|U-E2,R-E5,U-E2,U-E2,R1,R5,5,1.25,24,0,12,unusual_still_active,unusual_event_interrupted_by_intersection_rs
ConstructionObstacle,Town06_Rep0_route_002036_route0_01_10_16_11_36,39,R5,R-E2,R-E2|R-E5,R-E5,R-E2,U-E2,R1,R5,6,1.5,24,1,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
ConstructionObstacle,Town06_Rep0_route_002036_route0_01_10_16_11_36,40,R5,R-E2,R-E2|R-E5,R-E5,R-E2,U-E2,R1,R5,7,1.75,24,2,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
ConstructionObstacle,Town06_Rep0_route_002036_route0_01_10_16_11_36,41,R5,R-E2,R-E2|R-E5,R-E5,R-E2,U-E2,R1,R5,8,2.0,24,3,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
ConstructionObstacle,Town06_Rep0_route_002036_route0_01_10_16_11_36,42,R5,R-E2,R-E2|R-E5,R-E5,R-E2,U-E2,R1,R5,9,2.25,24,4,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
ConstructionObstacle,Town06_Rep0_route_002036_route0_01_10_16_11_36,43,R5,R-E2,R-E2|R-E5,R-E5,R-E2,U-E2,R1,R5,10,2.5,24,5,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
ConstructionObstacle,Town06_Rep0_route_002036_route0_01_10_16_11_36,44,R5,R-E2,R-E2|R-E5,R-E5,R-E2,U-E2,R1,R5,11,2.75,24,6,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
ConstructionObstacle,Town06_Rep0_route_002036_route0_01_10_16_11_36,45,R5,U-E2,R-E5|U-E2,R-E5,U-E2,U-E2,R1,R5,12,3.0,24,0,12,unusual_still_active,unusual_event_interrupted_by_intersection_rs
ConstructionObstacle,Town06_Rep0_route_002036_route0_01_10_16_11_36,46,R5,U-E2,R-E5|U-E2,R-E5,U-E2,U-E2,R1,R5,13,3.25,24,0,12,unusual_still_active,unusual_event_interrupted_by_intersection_rs
